,Phrase,Count,PMI
6145,"('work', 'and')",186,1.8964248523531957
3720,"('to', 'gain')",185,3.3426517867526933
1687,"('number', 'of')",185,5.101562761793296
1102,"('student', 's')",184,5.973591173954507
2399,"('who', 'are')",184,4.351185814923436
6872,"('to', 'help')",183,1.3484416948232507
2931,"('may', 'have')",182,3.9096984913377923
3456,"('not', 'have')",181,3.514375797143387
5254,"('goals', 'and')",180,2.4095530019284297
2046,"('be', 'difficult')",180,4.670633557657801
4978,"('students', 'are')",179,2.5713246443356077
1249,"('an', 'opportunity')",179,5.6984651047541774
4570,"('knowledge', 'and')",178,2.816230259302106
1995,"('s', 'important')",178,4.738431370817963
5213,"('be', 'an')",178,2.438603562322079
3681,"('are', 'not')",177,3.363690272208931
3368,"('the', 'ability')",177,3.591360102153814
1422,"('our', 'goals')",177,5.449706900980441
4442,"('essential', 'to')",176,2.894714723035495
215,"('working', 'alone')",175,8.913055973488657
4900,"('about', 'the')",175,2.615954075353983
6995,"('people', 'to')",175,1.2348769766741086
2179,"('pros', 'and')",174,4.555659383852625
3763,"('out', 'of')",174,3.311608038963797
2157,"('and', 'cons')",174,4.578620532295936
5306,"('to', 'use')",173,2.3797998409428445
5310,"('of', 'these')",173,2.3772933521955686
7436,"('is', 'that')",171,0.8498910099627643
6378,"('that', 'students')",171,1.7374074848828478
524,"('online', 'classes')",170,7.535276247854551
4104,"('to', 'find')",170,3.092127892128701
4273,"('it', 'has')",170,2.9864212005099624
882,"('for', 'instance')",170,6.4004091444408076
46,"('problem', 'solving')",170,10.95021635110537
3217,"(',', 'there')",169,3.7024709337425072
5244,"('that', 'i')",169,2.4155953221864976
4329,"('on', 'our')",168,2.9528665668733503
992,"('one', 'hand')",168,6.1691854888886155
3517,"('to', 'understand')",168,3.4731948087724227
3466,"('while', 'it')",167,3.5058630792748815
3802,"('to', 'develop')",167,3.2724307587904278
1977,"('be', 'able')",166,4.772862660682055
4031,"('as', 'they')",165,3.1369862199805105
78,"('cell', 'phones')",164,10.485727586216633
4078,"('benefits', 'of')",163,3.1075581457401604
1780,"('range', 'of')",163,4.998079668941667
5086,"('you', 'can')",163,2.508840455516168
4172,"('the', 'future')",162,3.0516011157662284
5506,"('into', 'the')",162,2.2639047194790933
5553,"('the', 'student')",162,2.241212133618994
4056,"('true', 'to')",162,3.1219084079045203
7735,"('and', 'more')",161,0.47239175909993847
1187,"('believe', 'that')",161,5.810343184889952
4767,"('me', 'to')",161,2.6995452436775516
180,"('first', 'impression')",161,9.172985951615711
2759,"('for', 'those')",159,4.050407524963276
8407,"('is', 'to')",158,-1.1051733341472065
4410,"('use', 'of')",158,2.9130041501823847
6980,"('in', 'an')",158,1.2469522258832626
2354,"('they', 'may')",158,4.387548083591209
702,"('associated', 'with')",158,6.871582057265872
6835,"('life', 'and')",157,1.3744933802085058
783,"('based', 'on')",157,6.672742244725306
3582,"('a', 'successful')",157,3.423740669257448
126,"('no', 'matter')",156,9.706024969431873
120,"('self', 'esteem')",156,9.80408599653948
