Phrase,Count,PMI
"('hand', 'there', 'are')",47,11.92997488132832
"('to', 'take', 'risks')",46,11.177386180484362
"('no', 'matter', 'what')",46,17.844632128921884
"('in', 'our', 'lives')",46,9.786162997126091
"('the', 'effects', 'of')",46,7.453041263054239
"('the', 'comfort', 'of')",46,8.145373861
"('before', 'making', 'a')",46,11.431446373618428
"('to', 'a', 'combination')",46,8.175890515226392
"('work', 'and', 'dedication')",46,11.687034045716025
"('can', 'be', 'more')",46,6.692121059972372
"('technology', 'has', 'had')",45,14.181278636190438
"('to', 'be', 'successful')",45,7.5993457866160625
"('having', 'a', 'good')",45,11.139602475012758
"('on', 'the', 'positive')",45,6.619742111809352
"('focus', 'on', 'their')",45,10.854466842426618
"('outlook', 'on', 'life')",45,13.733044966593681
"('to', 'become', 'a')",45,5.744964673702611
"('and', 'problem', 'solving')",45,13.715250007632186
"('failure', 'can', 'be')",45,8.557652625819834
"('to', 'take', 'the')",44,4.443708179952253
"('the', 'world', 'and')",44,5.210262554451255
"('after', 'school', 'homework')",44,16.007105844864576
"('due', 'to', 'a')",44,6.701572078189237
"('distance', 'learning', 'can')",44,12.052796657504341
"('to', 'achieve', 'success')",44,10.090102846481741
"('this', 'is', 'because')",44,10.731297334567891
"('it', 'can', 'lead')",44,8.047973842307563
"('be', 'taken', 'into')",44,14.31143011948236
"('students', 'with', 'a')",44,5.6014232565690065
"('to', 'make', 'decisions')",44,9.218972224418707
"('as', 'an', 'opportunity')",44,10.658456749967584
"('have', 'a', 'negative')",44,9.378840261173224
"('can', 'make', 'a')",44,6.156722955384282
"('in', 'some', 'cases')",44,13.537939747284412
"('of', 'one', 's')",44,7.995640470089938
"('our', 'own', 'decisions')",43,12.669853707835081
"('essential', 'part', 'of')",43,11.75820306
"('focus', 'on', 'the')",43,8.397194660042636
"('self', 'confidence', 'and')",43,11.56419409334535
"(',', 'there', 'is')",43,7.9418691146286235
"('the', 'cost', 'of')",43,8.242087279903764
"('that', 'it', 'can')",43,5.068882966041095
"('to', 'make', 'sure')",43,11.276953248541702
"('learn', 'and', 'grow')",43,12.026048417936565
"('stay', 'true', 'to')",43,11.21690582409601
"('for', 'the', 'future')",43,7.596639625969807
"('act', 'of', 'kindness')",43,15.313052833005877
"('beneficial', 'for', 'students')",43,9.77940353
"('can', 'result', 'in')",43,9.167854588732787
"('for', 'people', 'to')",43,5.668554377929986
"('more', 'time', 'for')",43,8.445646716241043
"('known', 'as', 'the')",43,9.265982525
"('as', 'it', 'can')",43,5.619636152719245
"('difficult', 'for', 'students')",43,9.500588541772586
"('to', 'reach', 'their')",43,8.592048685
"('it', 'easier', 'to')",43,8.663731803730784
"('the', 'power', 'to')",42,6.724296134
"('students', 'to', 'take')",42,6.874588505380089
"('young', 'age', 'can')",42,14.277123345145796
"('part', 'of', 'a')",42,6.944872716415155
"('that', 'having', 'a')",42,6.955059960306798
"('can', 'often', 'be')",42,8.198091296307467
"('n', 't', 'have')",42,15.51536626269597
"('the', 'potential', 'benefits')",42,9.677423773925625
"('with', 'a', 'group')",42,8.765733658513895
"('and', 'learn', 'from')",42,8.373404517313674
"('factors', 'such', 'as')",42,12.409556408094957
"('take', 'part', 'in')",42,11.057943654470513
"('students', 'may', 'not')",42,9.485834101574142
"('the', 'freedom', 'to')",42,7.555059277102266
"('personal', 'growth', 'and')",42,11.752077176254879
"(',', 'but', 'it')",42,8.371769442709727
"('sense', 'of', 'accomplishment')",42,13.99134439288839
"('to', 'grow', 'and')",42,6.784875909512806
"('skills', 'and', 'knowledge')",42,10.185198868851622
"('the', 'decision', 'to')",42,5.443824035807836
"('an', 'essential', 'part')",42,13.981431243150361
"('wide', 'range', 'of')",41,16.013047138251274
"('an', 'example', 'of')",41,8.424187605510816
"('skills', 'such', 'as')",41,11.259037049574793
"('in', 'the', 'same')",41,7.106152050015304
"('a', 'decrease', 'in')",41,10.052511470373219
"('along', 'the', 'way')",41,12.706215574756136
"('students', 'to', 'use')",41,7.404252955
"('the', 'impact', 'of')",41,6.220589168240579
"('school', 'day', 'could')",41,12.588617638063049
"('attitude', 'is', 'essential')",41,11.931110249502648
"('attitude', 'can', 'help')",41,10.159602088412306
"('working', 'with', 'a')",41,7.909707716
"('an', 'informed', 'decision')",41,15.49113698038262
"('well', 'as', 'the')",41,7.574775217751146
"('a', 'negative', 'attitude')",41,11.473831262764342
"('for', 'example', 'the')",41,6.7158070056594354
"('important', 'to', 'take')",41,8.064386770973194
"('that', 'come', 'with')",41,10.074879909507445
"('be', 'difficult', 'for')",41,8.994956224332313
"('there', 'can', 'be')",41,7.5914742929165655
"('extended', 'school', 'day')",41,15.51888502
"('for', 'many', 'students')",41,8.835556059036598
"('factors', ',', 'including')",41,14.778202987535654
"('with', 'friends', 'and')",41,8.722694997287775
"('order', 'to', 'make')",40,9.397624958270427
"('order', 'to', 'achieve')",40,11.469657758951165
"('they', 'may', 'not')",40,10.315800622742337
"('is', 'up', 'to')",40,6.2474570364395134
"('to', 'maintain', 'a')",40,7.818385743
"('some', 'students', 'may')",40,10.821579642870319
"('life', 'it', 'is')",40,7.312788721829087
"('can', 'be', 'the')",40,3.4195216457006126
"('longer', 'school', 'day')",40,14.761663914396483
"('for', 'success', 'in')",40,6.802496024863473
"('note', 'that', 'the')",40,9.169260969269473
"('such', 'as', 'and')",40,6.453600018441776
"('on', 'top', 'of')",40,11.181518355658078
"('a', 'result', 'of')",40,7.909109731633393
"('from', 'high', 'school')",40,11.29669591737504
"('the', 'case', 'of')",40,8.299501690085641
"('sense', 'of', 'self')",40,11.45195858232416
"('learn', 'how', 'to')",40,9.918373742
"('knowledge', 'and', 'skills')",40,10.114809540960223
"('and', 'it', 'can')",39,3.176969309373874
"('reach', 'their', 'goals')",39,13.30928150336122
"('can', 'also', 'provide')",39,9.410674037825451
"('providing', 'students', 'with')",39,10.993436394667789
"('the', 'best', 'way')",39,10.028783303899552
"('other', 'hand', ',')",39,11.166340324583963
"('that', 'failure', 'is')",39,8.289181508715942
"('and', 'hard', 'work')",39,10.067102356103945
"('acts', 'of', 'kindness')",39,16.303895976377845
"('courage', 'to', 'continue')",39,14.542341548565407
"('it', 'would', 'be')",39,8.443862245046368
"('in', 'the', 'workplace')",39,9.267061610647772
"('of', 'having', 'a')",39,5.671203967688271
"('be', 'mindful', 'of')",39,10.958766303908895
"('and', 'have', 'a')",39,3.3512654726869116
"('one', 'and', 'a')",39,4.374165874796994
"('it', 'is', 'up')",39,7.997847750146839
"('they', 'can', 'also')",39,8.169942026
"('a', 'great', 'opportunity')",39,11.486304788038169
"('the', 'advantages', 'of')",39,6.407526603801877
"('could', 'be', 'a')",39,7.060206910630555
"('integral', 'part', 'of')",39,14.774687457179692
"('has', 'had', 'a')",39,9.743730201
"('outside', 'of', 'the')",38,7.320241599
"('lead', 'to', 'success')",38,8.597137237907603
"('a', 'powerful', 'tool')",38,15.01558798796307
"('achieving', 'success', 'in')",38,10.973716015817764
"('it', ""'s"", 'important')",38,10.783642162634834
"('is', 'the', 'courage')",38,8.752592236725349
"('a', 'wide', 'range')",38,15.92560785848708
"('impact', 'on', 'our')",38,11.026894161152107
"('both', 'students', 'and')",38,7.215044723909337
"('high', 'school', 'early')",38,14.027067427758372
"('growth', 'and', 'development')",38,12.529274373734925
"('of', 'those', 'around')",38,10.990678515677573
"('to', 'become', 'more')",38,7.89667242
"('of', 'high', 'school')",38,8.765119797901306
"(""'s"", 'important', 'to')",38,8.996725572902392
"('also', 'be', 'a')",38,6.0290129945872195
"('as', 'part', 'of')",38,8.505991571049847
"('a', 'source', 'of')",38,8.950586367609553
"('in', 'many', 'ways')",38,11.49490511250547
"('however', ',', 'the')",38,6.852354225525488
"('their', 'ability', 'to')",38,8.355995946031854
"('for', 'students', 'and')",38,4.275055120999269
"('of', 'life', 'and')",38,4.584481973220669
"('this', 'means', 'that')",38,11.818970241388506
"('a', 'good', 'example')",38,11.341520438186691
"('combination', 'of', 'factors')",38,13.85357937953826
"('can', 'provide', 'students')",38,8.421523013998439
"('a', 'part', 'of')",38,6.800482807
"('with', 'each', 'other')",38,11.742502131829564
"('is', 'not', 'a')",38,5.435315623669609
"('have', 'the', 'potential')",37,7.096836271346248
"('success', 'it', 'is')",37,7.180045912798121
"('end', 'of', 'the')",37,7.469757168001934
"('it', 'difficult', 'for')",37,8.561794445
"('gives', 'us', 'the')",37,10.902193252073609
"('to', 'pursue', 'a')",37,7.047527443723041
"('and', 'can', 'help')",37,5.177182627976812
"('make', 'it', 'difficult')",37,10.692146018613705
"('seen', 'as', 'a')",37,9.724503359750358
"('the', 'need', 'to')",37,5.36395907
"('that', 'there', 'are')",37,8.368919066
"('mental', 'and', 'physical')",37,11.867408155111352
"('with', 'family', 'and')",37,7.9683502992095185
"('working', 'alone', 'can')",37,12.716344176520124
"('leading', 'to', 'a')",37,7.097956870566179
"('their', 'own', 'decisions')",37,11.70128803398472
"('true', 'to', 'oneself')",37,13.173685753662944
"('opportunity', 'for', 'students')",37,9.470398443014062
"('an', 'integral', 'part')",37,16.95591412136339
"('opportunity', 'to', 'explore')",37,11.144825184060942
"('all', 'of', 'these')",37,9.459322853965595
"('which', 'can', 'help')",37,9.458725706
"('the', 'positive', 'side')",37,11.415241721869407
"('stay', 'motivated', 'and')",37,12.24239604358602
"('it', 'allows', 'us')",37,11.303809550685678
"('can', 'open', 'up')",37,12.285201590563151
"('technology', 'has', 'made')",37,14.428595008804749
"('to', 'explore', 'and')",36,5.871479350044879
"('the', 'fact', 'that')",36,10.01725787582442
"('is', 'difficult', 'to')",36,6.490738594967652
"('from', 'the', 'comfort')",36,10.24931244
"('best', 'way', 'to')",36,9.902401310140739
"('in', 'the', 'past')",36,8.309846477144568
"('they', 'can', 'be')",36,6.665868922601518
"('up', 'to', 'the')",36,4.484975896628171
"('an', 'increase', 'in')",36,10.489489675603082
"('make', 'an', 'informed')",36,13.821546567680365
"('here', 'are', 'a')",36,10.639141300126177
"('high', 'school', 'can')",36,9.475481406674682
"('can', 'benefit', 'from')",36,10.429382430084111
"('ensure', 'that', 'the')",36,7.622119933983285
"('to', 'do', 'something')",36,10.647620235070526
"('to', 'gain', 'a')",36,6.260062367549196
"('for', 'example', 'when')",36,9.955986675529957
"('without', 'having', 'to')",36,9.636112091779452
"('yes', ',', 'there')",36,14.458294792958306
"('being', 'true', 'to')",36,10.34421315096752
"('be', 'a', 'powerful')",36,9.566507351455208
"('in', 'the', 'school')",36,4.090818289841501
"('from', 'failure', 'to')",36,7.832956217918785
"('to', 'complete', 'their')",36,8.832961194453894
"('to', 'continue', 'that')",36,8.957772919040487
"('but', 'it', 'also')",35,9.384615764243861
"('on', 'people', 's')",35,9.501693932301357
"('of', 'the', 'classroom')",35,6.419644053174139
"('school', 'homework', 'club')",35,17.69376553
"('the', 'advantages', 'and')",35,5.677297069759241
"('to', 'feelings', 'of')",35,7.612272670920397
"('to', 'keep', 'up')",35,10.712100172666652
"('contribute', 'to', 'the')",35,7.467466877678355
"('continue', 'that', 'counts')",35,18.29217036589007
"('important', 'to', 'stay')",35,8.840991757668554
"('the', 'pursuit', 'of')",35,9.082609066
"('for', 'some', 'students')",35,8.790079189794248
"('to', 'success', 'in')",35,4.743857228296015
"('own', 'decisions', 'and')",35,9.308470524779267
"('to', 'be', 'aware')",35,9.432326516349171
"('lead', 'to', 'increased')",35,10.848794253749247
"('of', 'kindness', 'can')",35,9.064688580394204
